sep=;
Datum;Högstakurs;Lägstakurs;Stängn.kurs;Genomsnittspris;Tot.vol.;Oms;
2020-01-20;1469,25;1459,96;1462,23;;1;;
2020-01-17;1467,74;1453,41;1463,27;;1;;
2020-01-16;1452,76;1434,23;1452,76;;1;;
2020-01-15;1438,79;1428,67;1433,87;;1;;
2020-01-14;1439,29;1422,15;1437,50;;1;;
2020-01-13;1442,63;1431,67;1437,32;;1;;
2020-01-10;1441,37;1432,31;1432,75;;1;;
2020-01-09;1445,15;1435,32;1437,86;;1;;
2020-01-08;1435,20;1418,19;1434,26;;1;;
2020-01-07;1441,19;1427,32;1434,81;;1;;
2020-01-03;1441,95;1422,81;1427,88;;1;;
2020-01-02;1445,08;1416,90;1444,06;;1;;
2019-12-30;1435,30;1414,80;1416,20;;1;;
2019-12-27;1437,00;1431,14;1435,24;;1;;
2019-12-23;1434,73;1427,29;1431,61;;1;;
2019-12-20;1429,98;1419,38;1429,90;;1;;
2019-12-19;1424,40;1415,12;1419,30;;1;;
2019-12-18;1425,58;1416,48;1420,78;;1;;
2019-12-17;1422,18;1413,78;1422,18;;1;;
2019-12-16;1416,79;1403,45;1416,71;;1;;
2019-12-13;1412,68;1399,62;1404,09;;1;;
2019-12-12;1399,18;1379,35;1396,53;;1;;
2019-12-11;1388,03;1372,95;1386,12;;1;;
2019-12-10;1386,88;1368,26;1381,88;;1;;
2019-12-09;1392,30;1385,86;1387,45;;1;;
2019-12-06;1389,04;1374,08;1388,69;;1;;
2019-12-05;1383,13;1371,59;1373,91;;1;;
2019-12-04;1375,38;1353,81;1374,70;;1;;
2019-12-03;1373,23;1350,18;1354,03;;1;;
2019-12-02;1390,19;1361,03;1362,74;;1;;
2019-11-29;1383,70;1372,50;1378,45;;1;;
2019-11-28;1385,30;1379,56;1382,68;;1;;
2019-11-27;1396,01;1384,87;1386,17;;1;;
2019-11-26;1391,41;1380,49;1390,33;;1;;
2019-11-25;1387,17;1374,50;1387,17;;1;;
2019-11-22;1378,36;1368,48;1372,93;;1;;
2019-11-21;1376,27;1364,02;1369,65;;1;;
2019-11-20;1383,78;1374,35;1378,33;;1;;
2019-11-19;1394,82;1381,90;1384,81;;1;;
2019-11-18;1397,74;1381,66;1384,33;;1;;
2019-11-15;1401,95;1381,94;1392,78;;1;;
2019-11-14;1397,16;1388,81;1390,85;;1;;
2019-11-13;1398,62;1384,51;1395,24;;1;;
2019-11-12;1401,23;1388,23;1399,65;;1;;
2019-11-11;1398,30;1388,33;1391,83;;1;;
2019-11-08;1395,66;1384,15;1395,47;;1;;
2019-11-07;1399,54;1387,65;1387,83;;1;;
2019-11-06;1393,97;1384,28;1386,54;;1;;
2019-11-05;1392,37;1381,86;1388,45;;1;;
2019-11-04;1390,55;1367,04;1390,45;;1;;
2019-11-01;1366,99;1362,58;1365,28;;1;;
2019-10-31;1376,49;1358,07;1362,04;;1;;
2019-10-30;1373,86;1364,61;1372,65;;1;;
2019-10-29;1378,08;1362,48;1367,44;;1;;
2019-10-28;1378,99;1369,47;1378,08;;1;;
2019-10-25;1369,84;1358,47;1369,84;;1;;
2019-10-24;1362,19;1347,94;1361,93;;1;;
2019-10-23;1353,15;1344,18;1353,14;;1;;
2019-10-22;1358,28;1349,53;1351,23;;1;;
2019-10-21;1350,89;1333,14;1350,41;;1;;
2019-10-18;1336,78;1320,85;1336,44;;1;;
2019-10-17;1335,36;1322,30;1327,96;;1;;
2019-10-16;1324,81;1316,24;1321,98;;1;;
2019-10-15;1323,61;1306,20;1319,65;;1;;
